actual_x, actual_y, actual_z, measured_x, measured_y, measured_z
2.64695,0.455813,0.303835,2.56918,0.483412,0.299043
2.64802,0.453993,0.302458,2.56918,0.487622,0.299043
2.64824,0.454111,0.302272,2.57888,0.48933,0.295953
2.64794,0.455059,0.302687,2.57888,0.48933,0.295953
2.64724,0.453418,0.30314,2.57888,0.48933,0.295953
2.64891,0.453647,0.302099,2.57888,0.485104,0.300179
2.64874,0.455508,0.302838,2.57888,0.485104,0.295953
2.64772,0.454491,0.302915,2.57888,0.48933,0.295953
2.64887,0.450211,0.302799,2.57888,0.485104,0.295953
2.64905,0.452267,0.302578,2.56918,0.483412,0.299043
2.64699,0.454061,0.303189,2.57888,0.485104,0.300179
2.6474,0.454405,0.302669,2.57888,0.485104,0.295953
2.6479,0.453948,0.302664,2.56918,0.487622,0.299043
2.64859,0.454754,0.302625,2.56918,0.487622,0.299043
2.64703,0.454598,0.303218,2.57888,0.48933,0.295953
2.6479,0.454388,0.302481,2.56918,0.487622,0.299043
2.58228,-0.457923,0.341701,2.57887,-0.410896,0.342443
2.58255,-0.459364,0.341685,2.56918,-0.40922,0.341148
2.58353,-0.456139,0.341529,2.57887,-0.415123,0.342443
2.5829,-0.456411,0.341482,2.56918,-0.40922,0.341148
2.58288,-0.459133,0.341454,2.56918,-0.40922,0.341148
2.58311,-0.458839,0.341484,2.56918,-0.41343,0.341148
2.58339,-0.458783,0.340972,2.57887,-0.415123,0.342443
2.58327,-0.458479,0.341768,2.56918,-0.41343,0.341148
2.58252,-0.459419,0.342101,2.56918,-0.41343,0.341148
2.58302,-0.458294,0.341754,2.56918,-0.41343,0.341148
2.58339,-0.458196,0.341814,2.56918,-0.40922,0.341148
2.58192,-0.460006,0.342287,2.56918,-0.40922,0.341148
2.58321,-0.459387,0.341562,2.56918,-0.41343,0.341148
2.58328,-0.458365,0.34215,2.56918,-0.41343,0.341148
2.58314,-0.459118,0.34194,2.57887,-0.410896,0.342443
2.58347,-0.459783,0.34155,2.56918,-0.41343,0.341148
2.58327,-0.457144,0.342047,2.56918,-0.41343,0.341148
2.67215,-0.22643,0.288312,2.56918,-0.17343,0.282201
2.67166,-0.227275,0.288258,2.57887,-0.174217,0.279047
2.6704,-0.228449,0.289548,2.57887,-0.174217,0.279047
2.67083,-0.225749,0.288904,2.58864,-0.179252,0.284354
2.67148,-0.225185,0.288708,2.58864,-0.17501,0.280112
2.6709,-0.226396,0.289562,2.57887,-0.174217,0.279047
2.67155,-0.226122,0.28886,2.57887,-0.174217,0.283274
2.67093,-0.226258,0.288584,2.57887,-0.174217,0.283274
